id_municipio,lon,lat,area_km2,n_sinistros,n_vitimas,n_fatal,is_fatal,pib,n_pav,pav,domicilios,populacao,taxa_alfabetizacao,idade_mediana,indice_envelhecimento
2410900,-35.84959074237006,-5.798435736898077,262.88,6.0,13.0,0.0,0.0,345300000.0,0.0,20.722765938057503,2345.0,7375.0,0.79504,31.0,49.5
4202438,-49.909179694336586,-27.763108810433987,510.673,15.0,58.0,4.0,1.0,131812000.0,0.0,46.6331659047452,1324.0,3512.0,0.91983,37.0,72.88
4316204,-52.89309513513303,-27.832478741531816,252.454,0.0,0.0,0.0,0.0,233572000.0,0.0,0.0,1755.0,4980.0,0.96056,47.0,152.69
3118205,-47.6238818117333,-19.88353890209526,618.363,0.0,0.0,0.0,0.0,534105000.0,0.0,0.0,2573.0,6662.0,0.92701,37.0,76.19
3110806,-41.73438976733102,-18.283951786171315,442.398,11.0,42.0,5.0,1.0,52825000.0,0.0,24.4020839215583,1086.0,2922.0,0.83458,39.0,87.48
5219357,-49.3889325016877,-15.251325356183782,812.756,0.0,0.0,0.0,0.0,157238000.0,0.0,0.0,1397.0,3530.0,0.87886,43.0,99.32
4210605,-48.98818242430585,-26.62690353974985,374.452,0.0,0.0,0.0,0.0,870023000.0,0.0,0.0,6204.0,17147.0,0.97293,37.0,67.69
5210802,-51.319966449457205,-19.10133295406228,2082.737,0.0,0.0,0.0,0.0,139352000.0,0.0,0.0,1749.0,4366.0,0.90309,38.0,78.58
3543402,-47.82127188090657,-21.21081286404062,650.916,0.0,0.0,0.0,0.0,47434521000.0,0.0,0.0,265935.0,694328.0,0.9795,36.0,72.23
4120408,-52.14916079361333,-23.26342304320107,155.631,12.0,29.0,4.0,1.0,184906000.0,0.0,8.746142521232512,1554.0,4325.0,0.94764,37.0,61.64
4104055,-53.01381961492466,-24.93112008457706,434.124,2.0,4.0,0.0,0.0,207893000.0,0.0,2.8461761852355383,1463.0,4024.0,0.88373,37.0,65.85
2905909,-43.15883748341808,-9.561686218381782,2914.573,0.0,0.0,0.0,0.0,336862000.0,49.929054068202994,0.0,10093.0,30624.0,0.79355,32.0,45.55
3167509,-43.29298403092299,-21.96422901646476,135.689,22.0,42.0,0.0,0.0,107886000.0,0.0,14.13364969923244,1073.0,2947.0,0.94353,41.0,101.92
2206001,-43.89453515155508,-7.076309301775288,677.416,0.0,0.0,0.0,0.0,59888000.0,0.0,0.0,1545.0,4722.0,0.82693,34.0,56.59
